time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	8.106124e-010
9.765625114122045e-011	6.135923e-009	4.890047e-008
1.953125022824409e-010	1.227185e-008	9.320982e-008
7.812500091297636e-010	4.908739e-008	2.792661e-007
1.562500018259527e-009	9.817477e-008	4.152833e-007
3.125000036519054e-009	1.963495e-007	5.669132e-007
1.159687502140017e-005	7.371641e-004	7.138443e-004
2.319062504276382e-005	1.460907e-003	1.414247e-003
3.478437506412747e-005	2.171424e-003	2.101774e-003
4.637812508549112e-005	2.868717e-003	2.776425e-003
5.797187510685477e-005	3.552784e-003	3.438202e-003
6.956562512821843e-005	4.223627e-003	4.087104e-003
8.115937514958204e-005	4.881244e-003	4.723130e-003
1.104562501495820e-004	6.396302e-003	6.188126e-003
1.397531251495820e-004	7.695236e-003	7.443546e-003
1.592843751495820e-004	8.419101e-003	8.142762e-003
1.788156251495821e-004	9.016335e-003	8.719264e-003
1.983468751495821e-004	9.477955e-003	9.164371e-003
2.178781251495821e-004	9.797018e-003	9.471384e-003
2.374093751495821e-004	9.968725e-003	9.635679e-003
2.569406251495821e-004	9.990493e-003	9.654784e-003
2.764718751495821e-004	9.861995e-003	9.528410e-003
2.960031251495821e-004	9.585162e-003	9.258458e-003
3.155343751495822e-004	9.164160e-003	8.848997e-003
3.350656251495822e-004	8.605321e-003	8.306189e-003
3.545968751495822e-004	7.917049e-003	7.638207e-003
3.838937501495822e-004	6.665097e-003	6.424008e-003
4.131906251495822e-004	5.187938e-003	4.992259e-003
4.424875001495823e-004	3.535483e-003	3.391369e-003
4.717843751495823e-004	1.763568e-003	1.675455e-003
4.829450894352966e-004	1.060962e-003	9.952393e-004
4.941058037210109e-004	3.616848e-004	3.183415e-004
5.052665180067252e-004	-3.342623e-004	-3.552381e-004
5.164272322924395e-004	-1.026880e-003	-1.025500e-003
5.275879465781538e-004	-1.716167e-003	-1.692443e-003
5.387486608638680e-004	-2.402126e-003	-2.356068e-003
5.499093751495823e-004	-3.084754e-003	-3.016375e-003
5.792062501495823e-004	-4.773773e-003	-4.649696e-003
6.085031251495824e-004	-6.301491e-003	-6.126357e-003
6.378000001495824e-004	-7.616288e-003	-7.396493e-003
6.573312501495824e-004	-8.352248e-003	-8.107005e-003
6.768625001495824e-004	-8.962582e-003	-8.695817e-003
6.963937501495824e-004	-9.438111e-003	-9.154080e-003
7.159250001495825e-004	-9.771681e-003	-9.474911e-003
7.354562501495825e-004	-9.958277e-003	-9.653489e-003
7.549875001495825e-004	-9.995090e-003	-9.687130e-003
7.745187501495825e-004	-9.881568e-003	-9.575329e-003
7.940500001495825e-004	-9.619419e-003	-9.319765e-003
8.135812501495825e-004	-9.212584e-003	-8.924280e-003
8.331125001495826e-004	-8.667183e-003	-8.394814e-003
8.526437501495826e-004	-7.991420e-003	-7.739323e-003
8.819406251495826e-004	-6.756079e-003	-6.541818e-003
9.112375001495826e-004	-5.292457e-003	-5.123759e-003
9.405343751495827e-004	-3.650007e-003	-3.533028e-003
9.698312501495827e-004	-1.884227e-003	-1.823348e-003
9.809919644352969e-004	-1.182889e-003	-1.144414e-003
9.921526787210113e-004	-4.842823e-004	-4.681844e-004
1.003313393006726e-003	2.115940e-004	2.053406e-004
1.014474107292440e-003	9.047394e-004	8.761611e-004
1.025634821578154e-003	1.595154e-003	1.544277e-003
1.036795535863869e-003	2.282838e-003	2.209688e-003
1.047956250149583e-003	2.967791e-003	2.872395e-003
1.077253125149583e-003	4.665584e-003	4.514721e-003
1.106550000149583e-003	6.205732e-003	6.004055e-003
1.135846875149583e-003	7.536193e-003	7.290041e-003
1.155378125149583e-003	8.284137e-003	8.012593e-003
1.174909375149583e-003	8.907478e-003	8.614392e-003
1.194440625149583e-003	9.396845e-003	9.086380e-003
1.213971875149583e-003	9.744872e-003	9.421449e-003
1.233503125149583e-003	9.946329e-003	9.614555e-003
1.253034375149583e-003	9.998183e-003	9.662791e-003
1.272565625149583e-003	9.899654e-003	9.565430e-003
1.292096875149583e-003	9.652227e-003	9.323938e-003
1.311628125149583e-003	9.259621e-003	8.941951e-003
1.331159375149583e-003	8.727740e-003	8.425221e-003
1.350690625149583e-003	8.064588e-003	7.781528e-003
1.370221875149583e-003	7.280136e-003	7.020561e-003
