Freq.	V(vout)
1.00000000000000e+001	(2.67203212454791e+001dB,-1.00808845160562e+002°)
1.25892541179417e+001	(2.86330203225851e+001dB,-1.03446921827751e+002°)
1.58489319246111e+001	(3.04993454352671e+001dB,-1.06699045940615e+002°)
1.99526231496888e+001	(3.22962990920708e+001dB,-1.10649499415780e+002°)
2.51188643150958e+001	(3.39931932618703e+001dB,-1.15351240050872e+002°)
3.16227766016838e+001	(3.55525859713268e+001dB,-1.20792939471120e+002°)
3.98107170553497e+001	(3.69347860503569e+001dB,-1.26864351735510e+002°)
5.01187233627272e+001	(3.81064480034415e+001dB,-1.33340176867242e+002°)
6.30957344480194e+001	(3.90506659145869e+001dB,-1.39905285260871e+002°)
7.94328234724282e+001	(3.97730462159948e+001dB,-1.46223325847210e+002°)
1.00000000000000e+002	(4.02996132437717e+001dB,-1.52016831550369e+002°)
1.25892541179417e+002	(4.06680326030985e+001dB,-1.57116688641071e+002°)
1.58489319246111e+002	(4.09176749662022e+001dB,-1.61465072132009e+002°)
1.99526231496888e+002	(4.10829080949480e+001dB,-1.65087183059519e+002°)
2.51188643150958e+002	(4.11904936780660e+001dB,-1.68055592223580e+002°)
3.16227766016838e+002	(4.12597731252432e+001dB,-1.70461717433939e+002°)
3.98107170553498e+002	(4.13040611053411e+001dB,-1.72398028222823e+002°)
5.01187233627273e+002	(4.13322391281471e+001dB,-1.73948996306758e+002°)
6.30957344480194e+002	(4.13501127957585e+001dB,-1.75187617170261e+002°)
7.94328234724282e+002	(4.13614282852748e+001dB,-1.76174957676043e+002°)
1.00000000000000e+003	(4.13685830742556e+001dB,-1.76961117554792e+002°)
1.25892541179417e+003	(4.13731035094424e+001dB,-1.77586711275219e+002°)
1.58489319246111e+003	(4.13759581274680e+001dB,-1.78084424054260e+002°)
1.99526231496888e+003	(4.13777602249091e+001dB,-1.78480444329203e+002°)
2.51188643150958e+003	(4.13788976393904e+001dB,-1.78795702680274e+002°)
3.16227766016838e+003	(4.13796154257212e+001dB,-1.79046908016330e+002°)
3.98107170553498e+003	(4.13800683365293e+001dB,-1.79247397941190e+002°)
5.01187233627273e+003	(4.13803540603965e+001dB,-1.79407829219990e+002°)
6.30957344480194e+003	(4.13805342421191e+001dB,-1.79536735349441e+002°)
7.94328234724283e+003	(4.13806477625299e+001dB,-1.79640976011149e+002°)
1.00000000000000e+004	(4.13807191204964e+001dB,-1.79726099874022e+002°)
1.25892541179417e+004	(4.13807637168528e+001dB,-1.79796638827440e+002°)
1.58489319246112e+004	(4.13807911770218e+001dB,-1.79856348691950e+002°)
1.99526231496888e+004	(4.13808074280075e+001dB,-1.79908408915092e+002°)
2.51188643150958e+004	(4.13808159774799e+001dB,-1.79955591729249e+002°)
3.16227766016839e+004	(4.13808186708045e+001dB,1.79999590298637e+002°)
3.98107170553498e+004	(4.13808160893257e+001dB,1.79954750507770e+002°)
5.01187233627273e+004	(4.13808076758405e+001dB,1.79907501075423e+002°)
6.30957344480195e+004	(4.13807916143356e+001dB,1.79855325885922e+002°)
7.94328234724283e+004	(4.13807644380382e+001dB,1.79795446582292e+002°)
1.00000000000000e+005	(4.13807202812125e+001dB,1.79724674689162e+002°)
1.25892541179417e+005	(4.13806496132953e+001dB,1.79639241972202e+002°)
1.58489319246112e+005	(4.13805371823649e+001dB,1.79534600076230e+002°)
1.99526231496888e+005	(4.13803587246327e+001dB,1.79405178929509e+002°)
2.51188643150959e+005	(4.13800757311726e+001dB,1.79244091352134e+002°)
3.16227766016839e+005	(4.13796271460024e+001dB,1.79042768754148e+002°)
3.98107170553498e+005	(4.13789162128599e+001dB,1.78790509742105e+002°)
5.01187233627273e+005	(4.13777896549372e+001dB,1.78473920030875e+002°)
6.30957344480195e+005	(4.13760047521812e+001dB,1.78076218678899e+002°)
7.94328234724283e+005	(4.13731773568114e+001dB,1.77576383329762e+002°)
1.00000000000000e+006	(4.13686999939476e+001dB,1.76948108014382e+002°)
1.25892541179417e+006	(4.13616132883154e+001dB,1.76158555797271e+002°)
1.58489319246112e+006	(4.13504052497195e+001dB,1.75166913885072e+002°)
1.99526231496888e+006	(4.13327007498154e+001dB,1.73922818639200e+002°)
2.51188643150959e+006	(4.13047880370111e+001dB,1.72364843378912e+002°)
3.16227766016839e+006	(4.12609136489984e+001dB,1.70419487053036e+002°)
3.98107170553498e+006	(4.11922729334345e+001dB,1.68001543684027e+002°)
5.01187233627274e+006	(4.10856596348098e+001dB,1.65017444810268e+002°)
6.30957344480195e+006	(4.09218744905278e+001dB,1.61374098030546e+002°)
7.94328234724284e+006	(4.06743198342744e+001dB,1.56996390822736e+002°)
1.00000000000000e+007	(4.03087743939700e+001dB,1.51855396944530e+002°)
1.25892541179417e+007	(3.97859221327621e+001dB,1.46003861445812e+002°)
1.58489319246112e+007	(3.90679734606347e+001dB,1.39604685210953e+002°)
1.99526231496889e+007	(3.81285689903800e+001dB,1.32928667448439e+002°)
2.51188643150959e+007	(3.69616433389894e+001dB,1.26305718295120e+002°)
3.16227766016839e+007	(3.55836982317249e+001dB,1.20044685443602e+002°)
3.98107170553499e+007	(3.40278776001009e+001dB,1.14363690010432e+002°)
5.01187233627274e+007	(3.23339049687840e+001dB,1.09363421862442e+002°)
6.30957344480195e+007	(3.05394326131932e+001dB,1.05042029471917e+002°)
7.94328234724284e+007	(2.86754738624990e+001dB,1.01328890806975e+002°)
1.00000000000000e+008	(2.67654490745038e+001dB,9.81168870778445e+001°)
