vce	V(vout)	I(Ib)	Ic(Q1)
Step Information: Ib=0  (Run: 1/6)
0.000000000000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000
1.000000000000000e-002	1.000000e-002	0.000000e+000	2.179655e-014
2.000000000000000e-002	2.000000e-002	0.000000e+000	4.039096e-014
3.000000000000000e-002	3.000000e-002	0.000000e+000	5.658863e-014
4.000000000000000e-002	4.000000e-002	0.000000e+000	7.102906e-014
5.000000000000000e-002	5.000000e-002	0.000000e+000	8.420099e-014
6.000000000000001e-002	6.000000e-002	0.000000e+000	9.646824e-014
7.000000000000001e-002	7.000000e-002	0.000000e+000	1.080967e-013
8.000000000000000e-002	8.000000e-002	0.000000e+000	1.192783e-013
9.000000000000000e-002	9.000000e-002	0.000000e+000	1.301501e-013
9.999999999999999e-002	1.000000e-001	0.000000e+000	1.408098e-013
1.100000000000000e-001	1.100000e-001	0.000000e+000	1.513262e-013
1.200000000000000e-001	1.200000e-001	0.000000e+000	1.617478e-013
1.300000000000000e-001	1.300000e-001	0.000000e+000	1.721088e-013
1.400000000000000e-001	1.400000e-001	0.000000e+000	1.824329e-013
1.500000000000000e-001	1.500000e-001	0.000000e+000	1.927370e-013
1.600000000000000e-001	1.600000e-001	0.000000e+000	2.030325e-013
1.700000000000000e-001	1.700000e-001	0.000000e+000	2.133275e-013
1.800000000000000e-001	1.800000e-001	0.000000e+000	2.236276e-013
1.900000000000000e-001	1.900000e-001	0.000000e+000	2.339367e-013
2.000000000000000e-001	2.000000e-001	0.000000e+000	2.442573e-013
2.100000000000001e-001	2.100000e-001	0.000000e+000	2.545912e-013
2.200000000000001e-001	2.200000e-001	0.000000e+000	2.649394e-013
2.300000000000001e-001	2.300000e-001	0.000000e+000	2.753029e-013
2.400000000000001e-001	2.400000e-001	0.000000e+000	2.856820e-013
2.500000000000001e-001	2.500000e-001	0.000000e+000	2.960770e-013
2.600000000000001e-001	2.600000e-001	0.000000e+000	3.064881e-013
2.700000000000001e-001	2.700000e-001	0.000000e+000	3.169151e-013
2.800000000000001e-001	2.800000e-001	0.000000e+000	3.273583e-013
2.900000000000001e-001	2.900000e-001	0.000000e+000	3.378173e-013
3.000000000000001e-001	3.000000e-001	0.000000e+000	3.482922e-013
3.100000000000001e-001	3.100000e-001	0.000000e+000	3.587828e-013
3.200000000000001e-001	3.200000e-001	0.000000e+000	3.692889e-013
3.300000000000001e-001	3.300000e-001	0.000000e+000	3.798105e-013
3.400000000000001e-001	3.400000e-001	0.000000e+000	3.903474e-013
3.500000000000001e-001	3.500000e-001	0.000000e+000	4.008994e-013
3.600000000000002e-001	3.600000e-001	0.000000e+000	4.114665e-013
3.700000000000002e-001	3.700000e-001	0.000000e+000	4.220484e-013
3.800000000000002e-001	3.800000e-001	0.000000e+000	4.326449e-013
3.900000000000002e-001	3.900000e-001	0.000000e+000	4.432561e-013
4.000000000000002e-001	4.000000e-001	0.000000e+000	4.538816e-013
4.100000000000002e-001	4.100000e-001	0.000000e+000	4.645214e-013
4.200000000000002e-001	4.200000e-001	0.000000e+000	4.751755e-013
4.300000000000002e-001	4.300000e-001	0.000000e+000	4.858435e-013
4.400000000000002e-001	4.400000e-001	0.000000e+000	4.965254e-013
4.500000000000002e-001	4.500000e-001	0.000000e+000	5.072211e-013
4.600000000000002e-001	4.600000e-001	0.000000e+000	5.179304e-013
4.700000000000003e-001	4.700000e-001	0.000000e+000	5.286533e-013
4.800000000000003e-001	4.800000e-001	0.000000e+000	5.393896e-013
4.900000000000003e-001	4.900000e-001	0.000000e+000	5.501391e-013
5.000000000000002e-001	5.000000e-001	0.000000e+000	5.609020e-013
5.100000000000002e-001	5.100000e-001	0.000000e+000	5.716779e-013
5.200000000000002e-001	5.200000e-001	0.000000e+000	5.824667e-013
5.300000000000003e-001	5.300000e-001	0.000000e+000	5.932684e-013
5.400000000000003e-001	5.400000e-001	0.000000e+000	6.040829e-013
5.500000000000003e-001	5.500000e-001	0.000000e+000	6.149101e-013
5.600000000000003e-001	5.600000e-001	0.000000e+000	6.257498e-013
5.700000000000003e-001	5.700000e-001	0.000000e+000	6.366021e-013
5.800000000000003e-001	5.800000e-001	0.000000e+000	6.474667e-013
5.900000000000003e-001	5.900000e-001	0.000000e+000	6.583437e-013
6.000000000000003e-001	6.000000e-001	0.000000e+000	6.692328e-013
6.100000000000003e-001	6.100000e-001	0.000000e+000	6.801341e-013
6.200000000000003e-001	6.200000e-001	0.000000e+000	6.910474e-013
6.300000000000003e-001	6.300000e-001	0.000000e+000	7.019726e-013
6.400000000000004e-001	6.400000e-001	0.000000e+000	7.129098e-013
6.500000000000004e-001	6.500000e-001	0.000000e+000	7.238586e-013
6.600000000000004e-001	6.600000e-001	0.000000e+000	7.348193e-013
6.700000000000004e-001	6.700000e-001	0.000000e+000	7.457916e-013
6.800000000000004e-001	6.800000e-001	0.000000e+000	7.567754e-013
6.900000000000004e-001	6.900000e-001	0.000000e+000	7.677707e-013
7.000000000000004e-001	7.000000e-001	0.000000e+000	7.787774e-013
7.100000000000004e-001	7.100000e-001	0.000000e+000	7.897955e-013
7.200000000000004e-001	7.200000e-001	0.000000e+000	8.008248e-013
7.300000000000004e-001	7.300000e-001	0.000000e+000	8.118653e-013
7.400000000000004e-001	7.400000e-001	0.000000e+000	8.229170e-013
7.500000000000004e-001	7.500000e-001	0.000000e+000	8.339797e-013
7.600000000000005e-001	7.600000e-001	0.000000e+000	8.450535e-013
7.700000000000005e-001	7.700000e-001	0.000000e+000	8.561381e-013
7.800000000000005e-001	7.800000e-001	0.000000e+000	8.672337e-013
7.900000000000005e-001	7.900000e-001	0.000000e+000	8.783400e-013
8.000000000000005e-001	8.000000e-001	0.000000e+000	8.894571e-013
8.100000000000005e-001	8.100000e-001	0.000000e+000	9.005849e-013
8.200000000000005e-001	8.200000e-001	0.000000e+000	9.117234e-013
8.300000000000005e-001	8.300000e-001	0.000000e+000	9.228723e-013
8.400000000000005e-001	8.400000e-001	0.000000e+000	9.340319e-013
8.500000000000005e-001	8.500000e-001	0.000000e+000	9.452019e-013
8.600000000000005e-001	8.600000e-001	0.000000e+000	9.563823e-013
8.700000000000006e-001	8.700000e-001	0.000000e+000	9.675730e-013
8.800000000000006e-001	8.800000e-001	0.000000e+000	9.787741e-013
8.900000000000006e-001	8.900000e-001	0.000000e+000	9.899854e-013
9.000000000000006e-001	9.000000e-001	0.000000e+000	1.001207e-012
9.100000000000006e-001	9.100000e-001	0.000000e+000	1.012439e-012
9.200000000000006e-001	9.200000e-001	0.000000e+000	1.023680e-012
9.300000000000006e-001	9.300000e-001	0.000000e+000	1.034932e-012
9.400000000000006e-001	9.400000e-001	0.000000e+000	1.046194e-012
9.500000000000006e-001	9.500000e-001	0.000000e+000	1.057466e-012
9.600000000000006e-001	9.600000e-001	0.000000e+000	1.068747e-012
9.700000000000006e-001	9.700000e-001	0.000000e+000	1.080039e-012
9.800000000000007e-001	9.800000e-001	0.000000e+000	1.091340e-012
9.900000000000007e-001	9.900000e-001	0.000000e+000	1.102651e-012
1.000000000000001e+000	1.000000e+000	0.000000e+000	1.113972e-012
1.010000000000001e+000	1.010000e+000	0.000000e+000	1.125303e-012
1.020000000000001e+000	1.020000e+000	0.000000e+000	1.136643e-012
1.030000000000001e+000	1.030000e+000	0.000000e+000	1.147993e-012
1.040000000000001e+000	1.040000e+000	0.000000e+000	1.159352e-012
1.050000000000001e+000	1.050000e+000	0.000000e+000	1.170721e-012
1.060000000000001e+000	1.060000e+000	0.000000e+000	1.182099e-012
1.070000000000001e+000	1.070000e+000	0.000000e+000	1.193487e-012
1.080000000000001e+000	1.080000e+000	0.000000e+000	1.204884e-012
1.090000000000001e+000	1.090000e+000	0.000000e+000	1.216290e-012
1.100000000000001e+000	1.100000e+000	0.000000e+000	1.227706e-012
1.110000000000001e+000	1.110000e+000	0.000000e+000	1.239131e-012
1.120000000000001e+000	1.120000e+000	0.000000e+000	1.250566e-012
1.130000000000001e+000	1.130000e+000	0.000000e+000	1.262009e-012
1.140000000000001e+000	1.140000e+000	0.000000e+000	1.273462e-012
1.150000000000001e+000	1.150000e+000	0.000000e+000	1.284924e-012
1.160000000000001e+000	1.160000e+000	0.000000e+000	1.296395e-012
1.170000000000001e+000	1.170000e+000	0.000000e+000	1.307875e-012
1.180000000000001e+000	1.180000e+000	0.000000e+000	1.319364e-012
1.190000000000001e+000	1.190000e+000	0.000000e+000	1.330862e-012
1.200000000000001e+000	1.200000e+000	0.000000e+000	1.342369e-012
1.210000000000001e+000	1.210000e+000	0.000000e+000	1.353885e-012
1.220000000000001e+000	1.220000e+000	0.000000e+000	1.365410e-012
1.230000000000001e+000	1.230000e+000	0.000000e+000	1.376944e-012
1.240000000000001e+000	1.240000e+000	0.000000e+000	1.388487e-012
1.250000000000001e+000	1.250000e+000	0.000000e+000	1.400038e-012
1.260000000000001e+000	1.260000e+000	0.000000e+000	1.411598e-012
1.270000000000001e+000	1.270000e+000	0.000000e+000	1.423167e-012
1.280000000000001e+000	1.280000e+000	0.000000e+000	1.434745e-012
1.290000000000001e+000	1.290000e+000	0.000000e+000	1.446331e-012
1.300000000000001e+000	1.300000e+000	0.000000e+000	1.457926e-012
1.310000000000001e+000	1.310000e+000	0.000000e+000	1.469530e-012
1.320000000000001e+000	1.320000e+000	0.000000e+000	1.481142e-012
1.330000000000001e+000	1.330000e+000	0.000000e+000	1.492763e-012
1.340000000000001e+000	1.340000e+000	0.000000e+000	1.504393e-012
1.350000000000001e+000	1.350000e+000	0.000000e+000	1.516031e-012
1.360000000000001e+000	1.360000e+000	0.000000e+000	1.527677e-012
1.370000000000001e+000	1.370000e+000	0.000000e+000	1.539332e-012
1.380000000000001e+000	1.380000e+000	0.000000e+000	1.550995e-012
1.390000000000001e+000	1.390000e+000	0.000000e+000	1.562667e-012
1.400000000000001e+000	1.400000e+000	0.000000e+000	1.574347e-012
1.410000000000001e+000	1.410000e+000	0.000000e+000	1.586036e-012
1.420000000000001e+000	1.420000e+000	0.000000e+000	1.597733e-012
1.430000000000001e+000	1.430000e+000	0.000000e+000	1.609438e-012
1.440000000000001e+000	1.440000e+000	0.000000e+000	1.621151e-012
1.450000000000001e+000	1.450000e+000	0.000000e+000	1.632873e-012
1.460000000000001e+000	1.460000e+000	0.000000e+000	1.644603e-012
1.470000000000001e+000	1.470000e+000	0.000000e+000	1.656341e-012
